#{"t_start": 1762226713.291023, "env_id": "None"}
r,l,t
728.419396,1262,6741.26265
715.434983,1366,6745.40519
708.8075,1416,6749.446584
-140.809002,2221,6769.344455
-202.808999,2221,6775.50456
641.846898,1844,6794.588061
737.559704,1183,6797.997163
734.391487,1211,6801.457372
694.890463,1167,6818.990045
559.167911,1859,6824.618413
739.884412,1162,6840.580642
456.149975,1762,6845.958621
704.019515,1451,6850.108876
596.445376,1709,6868.758833
512.871461,1427,6873.009355
738.67222,1173,6876.359408
542.276004,1985,6895.845709
695.381903,1512,6900.212314
671.439409,1669,6918.903504
611.225378,1597,6923.791886
644.679706,1828,6929.016559
689.515915,1552,6946.802725
561.599496,1851,6953.295797
392.685495,2131,6972.560931
-237.308998,2221,6979.135049
417.997216,2058,6999.295466
731.144906,1239,7002.957383
551.809689,1948,7022.194466
683.947396,1589,7026.973064
-279.809001,2221,7046.087721
-185.309002,2221,7053.581448
495.825917,2152,7072.743432
473.853994,1961,7078.730373
537.207987,1825,7097.567229
605.380396,1609,7102.40998
701.649695,1468,7106.880518
480.751513,2011,7126.507578
432.065419,2134,7132.724308
-235.809003,2221,7153.244806
-258.809001,2221,7159.623665
497.36721,1953,7178.165219
526.559712,1823,7184.422874
-265.809,2221,7203.274087
-271.309001,2221,7209.694014
701.50941,1469,7227.807857
-196.809001,2221,7234.489031
724.293517,1296,7252.339927
540.122997,1750,7257.664304
479.075401,1909,7275.978188
698.11219,1493,7282.551909
537.964006,1745,7287.525138
734.620419,1209,7303.872582
739.334907,1167,7307.301904
543.805405,1734,7312.342478
591.899692,1663,7330.721375
736.43719,1193,7334.296457
-199.809002,2221,7354.382199
595.099718,1668,7359.459777
356.653496,2160,7365.681645
525.63718,1738,7384.564132
-295.753444,2221,7391.017017
-131.808997,2221,7410.440208
742.701499,1136,7413.797655
523.690999,2221,7434.234291
719.896891,1287,7437.941283
733.817516,1216,7441.362442
741.517904,1147,7458.510246
742.487209,1138,7461.918392
616.184389,1594,7466.567641
578.302513,1740,7485.142064
551.138492,1735,7490.158207
-192.308999,2221,7509.241054
384.361039,1731,7515.365146
643.443502,1835,7533.466453
599.960504,1631,7538.409115
743.022213,1133,7541.658026
506.739912,1664,7559.658884
744.084699,1123,7563.05199
559.416879,1644,7567.727025
694.890465,1167,7584.703143
742.594418,1137,7588.335435
716.730494,1356,7592.187048
584.526492,1511,7609.48225
734.848883,1207,7613.999491
741.084516,1151,7617.230339
